pl_name,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim
Kepler-388 c,0,0.860,0.110,-0.110,0,0.077,0.010,-0.010,0,0.56600,,,0,0.00178,,,0
Kepler-389 b,0,1.510,0.770,-0.770,0,0.135,0.069,-0.069,0,2.89000,,,0,0.00909,,,0
Kepler-389 c,0,1.460,0.750,-0.750,0,0.130,0.067,-0.067,0,2.73000,,,0,0.00859,,,0
Kepler-39 b,0,13.900,1.010,-1.120,0,1.240,0.090,-0.100,0,6388.10000,413.20000,-381.40000,0,20.10000,1.30000,-1.30000,0
Kepler-390 b,0,0.820,0.070,-0.070,0,0.073,0.006,-0.006,0,0.47700,,,0,0.00150,,,0
Kepler-390 c,0,0.790,0.080,-0.080,0,0.070,0.007,-0.007,0,0.41800,,,0,0.00131,,,0
Kepler-391 b,0,3.200,0.780,-0.780,0,0.285,0.070,-0.070,0,10.30000,,,0,0.03250,,,0
Kepler-391 c,0,3.540,0.860,-0.860,0,0.316,0.077,-0.077,0,12.30000,,,0,0.03860,,,0
Kepler-392 b,0,1.000,0.210,-0.210,0,0.089,0.019,-0.019,0,0.97200,,,0,0.00306,,,0
Kepler-392 c,0,1.100,0.230,-0.230,0,0.098,0.021,-0.021,0,1.37000,,,0,0.00430,,,0
Kepler-393 b,0,1.290,0.250,-0.250,0,0.115,0.022,-0.022,0,2.21000,,,0,0.00696,,,0
Kepler-393 c,0,1.330,0.310,-0.310,0,0.119,0.028,-0.028,0,2.33000,,,0,0.00733,,,0
Kepler-394 b,0,1.600,0.820,-0.820,0,0.143,0.073,-0.073,0,3.19000,,,0,0.01000,,,0
Kepler-394 c,0,1.660,0.860,-0.860,0,0.148,0.077,-0.077,0,3.39000,,,0,0.01070,,,0
Kepler-394 d,0,1.501,,,0,0.134,,,0,2.86000,,,0,0.00900,,,0
Kepler-395 b,0,1.030,0.080,-0.080,0,0.092,0.007,-0.007,0,1.08000,,,0,0.00340,,,0
Kepler-395 c,0,1.320,0.090,-0.090,0,0.118,0.008,-0.008,0,2.30000,,,0,0.00724,,,0
Kepler-396 b,0,3.500,1.280,-0.650,0,0.312,0.114,-0.058,0,75.50000,11.80000,-5.80000,0,0.23800,0.03700,-0.01800,0
Kepler-396 c,0,5.300,1.950,-0.990,0,0.473,0.174,-0.088,0,17.90000,2.80000,-1.30000,0,0.05600,0.00900,-0.00400,0
